Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
2020-01-22,US,,1,0,0
2020-01-23,US,,1,0,0
2020-01-24,US,,2,0,0
2020-01-25,US,,2,0,0
2020-01-26,US,,5,0,0
2020-01-27,US,,5,0,0
2020-01-28,US,,5,0,0
2020-01-29,US,,6,0,0
2020-01-30,US,,6,0,0
2020-01-31,US,,8,0,0
2020-02-01,US,,8,0,0
2020-02-02,US,,8,0,0
